ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Johannesburg, Afrique du Sud,-26.205,28.049722,Oslo, Norvège,59.9133301,10.7389701,9705.935305916126
Paris, France,48.8534951,2.3483915,Tokyo, Japon,35.6821936,139.762221,9716.080756746891
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Athènes, Grèce,37.9755648,23.7348324,9721.971773051919
Berlin, Allemagne,52.5170365,13.3888599,Mexico, Mexique,19.4326296,-99.1331785,9725.873178026035
Athènes, Grèce,37.9755648,23.7348324,Vancouver, Canada,49.2608724,-123.113952,9781.193631928509
Melbourne, Australie,-37.8142454,144.9631732,Mumbai, Inde,18.9733536,72.8281049,9817.3536788561
Buenos Aires, Argentine,-34.6037181,-58.38153,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,9852.084310019038
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Reykjavik, Islande,64.145981,-21.9422367,9854.700738149382
Berlin, Allemagne,52.5170365,13.3888599,Manille, Philippines,14.5906346,120.9799964,9867.872636021613
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Reykjavik, Islande,64.145981,-21.9422367,9886.100637367406
Berlin, Allemagne,52.5170365,13.3888599,Singapour, Singapour,1.357107,103.8194992,9916.935241598696
Berlin, Allemagne,52.5170365,13.3888599,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,10009.800079312105
Pékin, Chine,40.190632,116.412144,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,10037.915497157806
Singapour, Singapour,1.357107,103.8194992,Oslo, Norvège,59.9133301,10.7389701,10048.571260149081
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,10140.758139945046
Hong Kong, Chine,22.2793278,114.1628131,Vancouver, Canada,49.2608724,-123.113952,10257.339456070764
Johannesburg, Afrique du Sud,-26.205,28.049722,Melbourne, Australie,-37.8142454,144.9631732,10326.864463616024
Montréal, Canada,45.5031824,-73.5698065,Tokyo, Japon,35.6821936,139.762221,10387.41478921833
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Oslo, Norvège,59.9133301,10.7389701,10422.566552378525
Montréal, Canada,45.5031824,-73.5698065,Pékin, Chine,40.190632,116.412144,10434.604089250053
Vancouver, Canada,49.2608724,-123.113952,Manille, Philippines,14.5906346,120.9799964,10550.118465463729
Montréal, Canada,45.5031824,-73.5698065,Séoul, Corée du Sud,37.5666791,126.9782914,10551.742768251073
Santiago, Chili,-33.4377756,-70.6504502,Vancouver, Canada,49.2608724,-123.113952,10554.238087407979
